longitude,latitude
-53.038765,-27.154602
-53.0319,-27.157248
-53.026611,-27.157152
-53.020475,-27.151816
-53.003469,-27.133387
-52.99382,-27.138234
-52.985909,-27.14989
-52.982555,-27.156622
-52.984023,-27.167558
-52.998273,-27.181047
-53.002657,-27.189983
-53.000158,-27.207186
-52.98954,-27.218425
-52.977675,-27.221135
-52.971063,-27.217796
-52.965914,-27.180193
-52.959082,-27.163438
-52.946588,-27.163749
-52.937029,-27.171853
-52.936376,-27.176447
-52.937574,-27.197322
-52.924618,-27.202479
-52.90432,-27.198831
-52.890356,-27.186908
-52.879092,-27.178309
-52.872981,-27.173981
-52.858603,-27.167684
-52.850823,-27.168584
-52.843989,-27.178052
-52.846901,-27.202548
-52.840667,-27.209213
-52.835828,-27.209944
-52.817462,-27.201335
-52.800641,-27.202642
-52.786898,-27.205031
-52.767429,-27.20934
-52.75797,-27.218289
-52.763537,-27.243418
-52.761615,-27.250183
-52.753939,-27.25833
-52.743973,-27.257049
-52.731363,-27.239724
-52.720289,-27.235016
-52.714908,-27.236889
-52.710191,-27.244383
-52.706817,-27.272875
-52.699279,-27.282063
-52.692638,-27.283941
-52.691557,-27.28416
-52.688215,-27.283086
-52.678935,-27.268209
-52.676298,-27.24661
-52.668136,-27.238408
-52.659702,-27.237905
-52.645621,-27.25997
-52.629156,-27.265655
-52.610687,-27.263353
-52.597707,-27.254176
-52.590296,-27.248268
-52.563787,-27.24872
-52.550096,-27.238481
-52.545248,-27.239965
-52.536266,-27.260088
-52.504457,-27.264894
-52.497912,-27.265187
-52.486059,-27.266914
-52.479722,-27.265352
-52.477392,-27.262707
-52.482011,-27.245182
-52.477717,-27.234023
-52.462791,-27.228791
-52.451623,-27.220787
-52.440048,-27.21673
-52.432949,-27.218382
-52.431948,-27.22774
-52.442107,-27.249132
-52.440464,-27.262668
-52.419347,-27.282741
-52.401927,-27.292448
-52.397684,-27.292558
-52.39585,-27.292606
-52.393188,-27.28796
-52.399856,-27.258482
-52.393704,-27.252376
-52.382069,-27.257653
-52.380436,-27.264337
-52.382523,-27.274231
-52.383843,-27.284784
-52.381605,-27.294048
-52.375702,-27.304248
-52.365095,-27.303774
-52.356593,-27.292437
-52.346732,-27.288229
-52.305534,-27.318296
-52.299128,-27.31864
-52.293895,-27.316261
-52.291286,-27.309002
-52.305055,-27.274936
-52.301756,-27.26002
-52.293784,-27.257753
-52.277213,-27.261967
-52.261222,-27.259048
-52.253914,-27.257466
-52.235104,-27.265571
-52.236171,-27.2721
-52.263865,-27.281518
-52.277946,-27.296415
-52.273179,-27.303961
-52.250742,-27.302334
-52.239401,-27.306174
-52.224689,-27.330422
-52.210158,-27.330855
-52.203701,-27.323419
-52.20088,-27.316447
-52.193165,-27.297367
-52.180233,-27.276894
-52.173845,-27.272841
-52.166593,-27.273337
-52.160966,-27.276816
-52.158902,-27.283735
-52.167271,-27.311598
-52.161415,-27.313968
-52.139733,-27.305062
-52.12839,-27.302769
-52.119066,-27.303174
-52.107908,-27.309588
-52.10618,-27.315631
-52.107219,-27.323918
-52.109469,-27.339622
