latitude,longitude
-11.2134,-69.5032
-11.2197,-69.5096
-11.2229,-69.5197
-11.2242,-69.5310
-11.2267,-69.5364
-11.2270,-69.5428
-11.2223,-69.5449
-11.2178,-69.5545
-11.2095,-69.5662
-11.2182,-69.5854
-11.2191,-69.6020
-11.2244,-69.6139
-11.2263,-69.6248
-11.2429,-69.6345
-11.2429,-69.6360
-11.2404,-69.6420
-11.2351,-69.6437
-11.2316,-69.6482
-11.2339,-69.6683
-11.2188,-69.6792
-11.2110,-69.6927
-11.2095,-69.7061
-11.2012,-69.7237
-11.2027,-69.7263
-11.2007,-69.7317
-11.2018,-69.7432
-11.1952,-69.7491
-11.1893,-69.7585
-11.1811,-69.7647
-11.1787,-69.7712
-11.1820,-69.7853
-11.1782,-69.7920
-11.1795,-69.7991
-11.1764,-69.8091
-11.1766,-69.8164
-11.1695,-69.8226
-11.1871,-69.8383
-11.2045,-69.8620
-11.1999,-69.8674
-11.1968,-69.8778
-11.1912,-69.8845
-11.1918,-69.8903
-11.1897,-69.8968
-11.1914,-69.9026
-11.1984,-69.9143
-11.1917,-69.9321
-11.1965,-69.9571
-11.1932,-69.9689
-11.1929,-69.9787
-11.1906,-69.9790
-11.1854,-69.9837
-11.1698,-69.9832
-11.1515,-69.9923
-11.1242,-69.9920
-11.1166,-69.9977
-11.1087,-69.9962
-11.1062,-70.0000
-11.1015,-70.0016
-11.0998,-70.0050
-11.1027,-70.0127
-11.1012,-70.0144
-11.1018,-70.0178
-11.1053,-70.0181
-11.1112,-70.0218
-11.1168,-70.0289
-11.1295,-70.0336
-11.1382,-70.0440
-11.1437,-70.0470
-11.1456,-70.0534
-11.1536,-70.0647
-11.1557,-70.0787
-11.1586,-70.0859
-11.1620,-70.0920
-11.1685,-70.0922
-11.1705,-70.1004
-11.1737,-70.1028
-11.1734,-70.1073
-11.1768,-70.1168
-11.1760,-70.1364
-11.1831,-70.1476
-11.1829,-70.1595
-11.1893,-70.1589
-11.1920,-70.1612
-11.1904,-70.1713
-11.1920,-70.1760
-11.1895,-70.1795
-11.1987,-70.1853
-11.1967,-70.2038
-11.1979,-70.2137
-11.1920,-70.2241
-11.2002,-70.2395
-11.2028,-70.2486
-11.2029,-70.2562
-11.1946,-70.2655
-11.1889,-70.2829
-11.1815,-70.2980
-11.1712,-70.3084
-11.1668,-70.3172
-11.1672,-70.3246
-11.1736,-70.3328
-11.1762,-70.3453
-11.1639,-70.3517
-11.1613,-70.3549
-11.1570,-70.3781
-11.1587,-70.3979
-11.1579,-70.3995
-11.1545,-70.3995
-11.1512,-70.4096
-11.1517,-70.4200
-11.1418,-70.4422
-11.1395,-70.4453
-11.1355,-70.4458
-11.1322,-70.4425
-11.1255,-70.4488
-11.1145,-70.4516
-11.1062,-70.4575
-11.1009,-70.4669
-11.0987,-70.4900
-11.0846,-70.5119
-11.0835,-70.5216
-11.0774,-70.5270
-11.0754,-70.5337
-11.0629,-70.5362
-11.0573,-70.5456
-11.0434,-70.5578
-11.0412,-70.5645
-11.0308,-70.5670
-11.0230,-70.5670
-11.0130,-70.5755
-11.0037,-70.5907
-11.0012,-70.6020
-10.9922,-70.6109
-10.9871,-70.6230
-10.9811,-70.6276
-10.9752,-70.6281
-10.9702,-70.6353
-10.9681,-70.6323
-10.9673,-70.6243
-10.9699,-70.6166
-10.9672,-70.6130
-10.9629,-70.6128
-10.9626,-70.6095
-10.9707,-70.5974
-10.9755,-70.5954
-10.9790,-70.5911
-10.9757,-70.5873
-10.9786,-70.5796
-10.9685,-70.5656
-10.9632,-70.5641
-10.9574,-70.5652
-10.9537,-70.5620
-10.9640,-70.5552
-10.9656,-70.5483
-10.9579,-70.5403
-10.9484,-70.5417
-10.9437,-70.5379
-10.9348,-70.5367
-10.9317,-70.5308
-10.9323,-70.5261
-10.9295,-70.5208
-10.9280,-70.5204
-10.9255,-70.5228
-10.9212,-70.5212
-10.9149,-70.5092
-10.9170,-70.5053
-10.9277,-70.5031
-10.9337,-70.4987
-10.9358,-70.4877
-10.9263,-70.4809
-10.9367,-70.4781
-10.9459,-70.4701
-10.9556,-70.4465
-10.9612,-70.4378
-10.9455,-70.4229
-10.9320,-70.4197
-10.9167,-70.4093
-10.9145,-70.4062
-10.9149,-70.4016
-10.9123,-70.3939
-10.9032,-70.3821
-10.9038,-70.3770
-10.9081,-70.3729
-10.9213,-70.3701
-10.9312,-70.3662
-10.9238,-70.3542
-10.9171,-70.3500
-10.9139,-70.3385
-10.9006,-70.3242
-10.9037,-70.3182
-10.8997,-70.3113
-10.9050,-70.3076
-10.9087,-70.2988
-10.9120,-70.2962
-10.9124,-70.2912
-10.9081,-70.2881
-10.9098,-70.2829
-10.9076,-70.2812
-10.8978,-70.2898
-10.8892,-70.2942
-10.8808,-70.2928
-10.8794,-70.2878
-10.8852,-70.2725
-10.8704,-70.2662
-10.8721,-70.2549
-10.8692,-70.2479
-10.8697,-70.2392
